,職稱,公司名稱,縣市,鄉鎮,路名,工作時間,最高需求人數(數字),最高月薪(數字),更新年份,更新月份,更新日,要求年資（數字）,最低學歷要求
2412,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
2413,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
2414,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
2415,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
2416,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
2417,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
2418,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
2419,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
2420,行銷企劃,種子娛樂製作股份有限公司,台北市,內湖區,洲子街12號3樓,日班,1至2 人,"32,000",2019,06,20,1年以上,專科
2421,通路行銷企劃人員,義美食品股份有限公司,台北市,大安區,,日班,1至2 人,"38,000",2019,07,10,不拘,碩士
2422,行銷企劃,模法雲端行銷股份有限公司,桃園市,桃園區,桃園市桃園區莊敬路一段211號2樓,日班,1 人,"35,000",2019,07,03,不拘,專科
2423,行銷企劃,極限電競股份有限公司,台北市,內湖區,瑞光路513巷22弄5號8樓之1,日班,2至5 人,"40,000",2019,07,09,不拘,不拘
2424,行銷企劃,Le Ruban patisserie_法朋有限公司,台北市,大安區,仁愛路四段122巷24號,日班,1 人,,2019,07,09,不拘,專科
2425,行銷企劃專員,富堡工業股份有限公司,台北市,中正區,忠孝東路2段130號2樓之3,日班，0830-1730,1至2 人,"40,000",2019,07,09,1年以上,碩士
2426,行銷企劃,旅奇廣告有限公司,台北市,信義區,基隆路一段159號4樓,日班，09:30-18:30,1至2 人,,2019,07,08,3年以上,專科
2427,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
2428,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
2429,行銷企劃,ㄇㄚˊ幾兔主題餐廳_淶洢國際餐飲事業有限公司,新北市,新莊區,瓊林南路33-8號,日班,1至2 人,,2019,06,14,4年以上,不拘
2430,行銷企劃,月芽精緻養生月子餐_月芽餐飲有限公司,新北市,林口區,文化三路二段238號,日班，09:00-18:00,1 人,,2019,07,09,不拘,專科
2431,行銷企劃,威煦軟體開發有限公司,台北市,信義區,忠孝東路五段508號4樓-1,日班,2至4 人,"40,000",2019,06,05,不拘,專科
2432,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
2433,行銷企劃,小萌科技有限公司,台北市,大安區,市民大道三段,日班，9:00-18:00,1 人,,2019,07,03,2年以上,專科
2434,行銷企劃,群創管理顧問有限公司,台北市,中正區,和平西路1段88號4樓,日班，08:50~18:00,1至2 人,"37,000",2019,07,10,1年以上,大學
2435,資深行銷企劃,達摩媒體股份有限公司,台北市,松山區,南京東路4段126號11樓之1,日班，09:00~18:30,1至2 人,"50,000",2019,07,04,2年以上,大學
2436,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
2437,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
2438,行銷企劃,精準國際開發有限公司,新北市,中和區,中正路965號6樓,日班，08:30~18:00,1 人,"45,000",2019,06,26,不拘,專科
2439,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
2440,行銷企劃,種子娛樂製作股份有限公司,台北市,內湖區,洲子街12號3樓,日班,1至2 人,"32,000",2019,06,20,1年以上,專科
2441,通路行銷企劃人員,義美食品股份有限公司,台北市,大安區,,日班,1至2 人,"38,000",2019,07,10,不拘,碩士
2442,行銷企劃,模法雲端行銷股份有限公司,桃園市,桃園區,桃園市桃園區莊敬路一段211號2樓,日班,1 人,"35,000",2019,07,03,不拘,專科
2443,行銷企劃,極限電競股份有限公司,台北市,內湖區,瑞光路513巷22弄5號8樓之1,日班,2至5 人,"40,000",2019,07,09,不拘,不拘
2444,行銷企劃,Le Ruban patisserie_法朋有限公司,台北市,大安區,仁愛路四段122巷24號,日班,1 人,,2019,07,09,不拘,專科
2445,行銷企劃專員,富堡工業股份有限公司,台北市,中正區,忠孝東路2段130號2樓之3,日班，0830-1730,1至2 人,"40,000",2019,07,09,1年以上,碩士
2446,行銷企劃,旅奇廣告有限公司,台北市,信義區,基隆路一段159號4樓,日班，09:30-18:30,1至2 人,,2019,07,08,3年以上,專科
2447,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
2448,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
2449,行銷企劃,ㄇㄚˊ幾兔主題餐廳_淶洢國際餐飲事業有限公司,新北市,新莊區,瓊林南路33-8號,日班,1至2 人,,2019,06,14,4年以上,不拘
2450,行銷企劃,月芽精緻養生月子餐_月芽餐飲有限公司,新北市,林口區,文化三路二段238號,日班，09:00-18:00,1 人,,2019,07,09,不拘,專科
2451,行銷企劃,威煦軟體開發有限公司,台北市,信義區,忠孝東路五段508號4樓-1,日班,2至4 人,"40,000",2019,06,05,不拘,專科
2452,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
2453,行銷企劃,小萌科技有限公司,台北市,大安區,市民大道三段,日班，9:00-18:00,1 人,,2019,07,03,2年以上,專科
2454,行銷企劃,群創管理顧問有限公司,台北市,中正區,和平西路1段88號4樓,日班，08:50~18:00,1至2 人,"37,000",2019,07,10,1年以上,大學
2455,資深行銷企劃,達摩媒體股份有限公司,台北市,松山區,南京東路4段126號11樓之1,日班，09:00~18:30,1至2 人,"50,000",2019,07,04,2年以上,大學
2456,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
2457,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
2458,行銷企劃,精準國際開發有限公司,新北市,中和區,中正路965號6樓,日班，08:30~18:00,1 人,"45,000",2019,06,26,不拘,專科
2459,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
2460,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
2461,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
2462,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
2463,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
2464,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
2465,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
2466,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
2467,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
2468,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
2469,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
2470,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
2471,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
2472,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
2473,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
2474,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
2475,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
2476,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
2477,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
2478,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
2479,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
2480,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
2481,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
2482,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
2483,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
2484,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
2485,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
2486,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
2487,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
